Commodity,Market,Variety,Max,Avg,Min,Fetch_Date
Amla(Nelli Kai), Bowenpally,Amla," ₹ 6,000"," ₹ 5,000"," ₹ 2,000",2025-12-02
Beetroot, Bowenpally,Beetroot," ₹ 3,500"," ₹ 2,800"," ₹ 1,000",2025-12-02
Bitter gourd, Bowenpally,Bitter Gourd," ₹ 3,300"," ₹ 2,800"," ₹ 1,000",2025-12-02
Bottle gourd, Bowenpally,Bottle Gourd," ₹ 1,200"," ₹ 1,000", ₹ 400,2025-12-02
Brinjal, Bowenpally,Arkasheela Mattigulla," ₹ 4,000"," ₹ 3,500"," ₹ 2,000",2025-12-02
Cabbage, Bowenpally,Cabbage," ₹ 1,500"," ₹ 1,200", ₹ 500,2025-12-02
Capsicum, Bowenpally,Capsicum," ₹ 3,200"," ₹ 2,800"," ₹ 1,000",2025-12-02
Carrot, Bowenpally,Carrot," ₹ 6,000"," ₹ 4,500", ₹ 800,2025-12-02
Cauliflower, Bowenpally,African Sarson," ₹ 2,000"," ₹ 1,800"," ₹ 1,000",2025-12-02
Chow Chow, Bowenpally,Chow Chow," ₹ 1,000", ₹ 800, ₹ 500,2025-12-02
Cluster beans, Bowenpally,Cluster Beans," ₹ 6,000"," ₹ 5,000"," ₹ 3,000",2025-12-02
Colacasia, Bowenpally,Colacasia," ₹ 2,000"," ₹ 1,800"," ₹ 1,000",2025-12-02
Cucumbar(Kheera), Bowenpally,Cucumbar," ₹ 1,200"," ₹ 1,000", ₹ 500,2025-12-02
Drumstick, Bowenpally,Drumstick," ₹ 10,000"," ₹ 8,500"," ₹ 5,000",2025-12-02
Field Pea, Bowenpally,Field Pea," ₹ 5,000"," ₹ 4,000"," ₹ 2,000",2025-12-02
French Beans (Frasbean), Bowenpally,French Beans (Frasbean)," ₹ 6,000"," ₹ 5,000"," ₹ 2,000",2025-12-02
Green Chilli, Bowenpally,Green Chilly," ₹ 3,000"," ₹ 2,800"," ₹ 1,800",2025-12-02
Groundnut pods (raw), Bowenpally,Groundnut pods (raw)," ₹ 5,500"," ₹ 5,000"," ₹ 3,000",2025-12-02
Onion, Bowenpally,1st Sort," ₹ 1,800"," ₹ 1,400", ₹ 500,2025-12-02
Onion Green, Bowenpally,Onion Green," ₹ 5,000"," ₹ 4,200"," ₹ 2,000",2025-12-02
Potato, Bowenpally,(Red Nanital)," ₹ 2,500"," ₹ 2,200"," ₹ 1,000",2025-12-02
Pumpkin, Bowenpally,Other," ₹ 2,500"," ₹ 2,200"," ₹ 1,000",2025-12-02
Raddish, Bowenpally,Other, ₹ 400, ₹ 300, ₹ 200,2025-12-02
Ridgeguard(Tori), Bowenpally,Other," ₹ 4,000"," ₹ 3,500"," ₹ 2,000",2025-12-02
Snakeguard, Bowenpally,Other," ₹ 2,000"," ₹ 1,800"," ₹ 1,000",2025-12-02
Sweet Potato, Bowenpally,Hosur Green," ₹ 3,300"," ₹ 3,000"," ₹ 2,000",2025-12-02
Tomato, Bowenpally,Deshi," ₹ 1,800"," ₹ 1,500", ₹ 400,2025-12-02
Yam (Ratalu), Bowenpally,Other," ₹ 3,500"," ₹ 3,200"," ₹ 2,000",2025-12-02
White Pumpkin, Bowenpally,Other," ₹ 1,000", ₹ 900, ₹ 500,2025-12-02
Bhindi(Ladies Finger), Bowenpally,Bhindi," ₹ 2,200"," ₹ 1,800"," ₹ 1,200",2025-12-02
Knool Khol, Bowenpally,Knool Khol," ₹ 1,800"," ₹ 1,600"," ₹ 1,000",2025-12-02
Amla(Nelli Kai), Bowenpally,Amla," ₹ 6,000"," ₹ 5,000"," ₹ 2,000",2025-12-01
Beetroot, Bowenpally,Beetroot," ₹ 3,500"," ₹ 2,800"," ₹ 1,000",2025-12-01
Bitter gourd, Bowenpally,Bitter Gourd," ₹ 3,300"," ₹ 2,800"," ₹ 1,000",2025-12-01
Bottle gourd, Bowenpally,Bottle Gourd," ₹ 1,200"," ₹ 1,000", ₹ 400,2025-12-01
Brinjal, Bowenpally,Arkasheela Mattigulla," ₹ 4,000"," ₹ 3,500"," ₹ 2,000",2025-12-01
Cabbage, Bowenpally,Cabbage," ₹ 1,500"," ₹ 1,200", ₹ 500,2025-12-01
Capsicum, Bowenpally,Capsicum," ₹ 3,200"," ₹ 2,800"," ₹ 1,000",2025-12-01
Carrot, Bowenpally,Carrot," ₹ 6,000"," ₹ 4,500", ₹ 800,2025-12-01
Cauliflower, Bowenpally,African Sarson," ₹ 2,000"," ₹ 1,800"," ₹ 1,000",2025-12-01
Chow Chow, Bowenpally,Chow Chow," ₹ 1,000", ₹ 800, ₹ 500,2025-12-01
Cluster beans, Bowenpally,Cluster Beans," ₹ 6,000"," ₹ 5,000"," ₹ 3,000",2025-12-01
Colacasia, Bowenpally,Colacasia," ₹ 2,000"," ₹ 1,800"," ₹ 1,000",2025-12-01
Cucumbar(Kheera), Bowenpally,Cucumbar," ₹ 1,200"," ₹ 1,000", ₹ 500,2025-12-01
Drumstick, Bowenpally,Drumstick," ₹ 10,000"," ₹ 8,500"," ₹ 5,000",2025-12-01
Field Pea, Bowenpally,Field Pea," ₹ 5,000"," ₹ 4,000"," ₹ 2,000",2025-12-01
French Beans (Frasbean), Bowenpally,French Beans (Frasbean)," ₹ 6,000"," ₹ 5,000"," ₹ 2,000",2025-12-01
Green Chilli, Bowenpally,Green Chilly," ₹ 3,000"," ₹ 2,800"," ₹ 1,800",2025-12-01
Groundnut pods (raw), Bowenpally,Groundnut pods (raw)," ₹ 5,500"," ₹ 5,000"," ₹ 3,000",2025-12-01
Onion, Bowenpally,1st Sort," ₹ 1,800"," ₹ 1,400", ₹ 500,2025-12-01
Onion Green, Bowenpally,Onion Green," ₹ 5,000"," ₹ 4,200"," ₹ 2,000",2025-12-01
Potato, Bowenpally,(Red Nanital)," ₹ 2,500"," ₹ 2,200"," ₹ 1,000",2025-12-01
Pumpkin, Bowenpally,Other," ₹ 2,500"," ₹ 2,200"," ₹ 1,000",2025-12-01
Raddish, Bowenpally,Other, ₹ 400, ₹ 300, ₹ 200,2025-12-01
Ridgeguard(Tori), Bowenpally,Other," ₹ 4,000"," ₹ 3,500"," ₹ 2,000",2025-12-01
Snakeguard, Bowenpally,Other," ₹ 2,000"," ₹ 1,800"," ₹ 1,000",2025-12-01
Sweet Potato, Bowenpally,Hosur Green," ₹ 3,300"," ₹ 3,000"," ₹ 2,000",2025-12-01
Tomato, Bowenpally,Deshi," ₹ 1,800"," ₹ 1,500", ₹ 400,2025-12-01
Yam (Ratalu), Bowenpally,Other," ₹ 3,500"," ₹ 3,200"," ₹ 2,000",2025-12-01
White Pumpkin, Bowenpally,Other," ₹ 1,000", ₹ 900, ₹ 500,2025-12-01
Bhindi(Ladies Finger), Bowenpally,Bhindi," ₹ 2,200"," ₹ 1,800"," ₹ 1,200",2025-12-01
Knool Khol, Bowenpally,Knool Khol," ₹ 1,800"," ₹ 1,600"," ₹ 1,000",2025-12-01
