Date,Market Name,Commodity Name,Variety Name,Arrivals(Qtls),Maximum,Minimum,Modal,Purchase By
2025-08-31,Bowenpally,Amla,Common,218.0,5500.0,1500.0,4000,Private Traders
2025-08-31,Green Chillies,Common,4,4000.0,3000.0,3500.0,Private Traders,
2025-08-31,Kheera,Common,4,2500.0,2000.0,2250.0,Private Traders,
2025-08-31,Ladys Finger,Common,3,4500.0,3000.0,3500.0,Private Traders,
2025-08-31,Lemon,Common,261,1320.0,200.0,760.0,Private Traders,
2025-08-31,Ribbed Gourd,Common,3,4000.0,3000.0,3500.0,Private Traders,
2025-08-31,Tomato,Common,36,2000.0,1200.0,1600.0,Private Traders,
2025-08-31,Ibrahimpatnam,Maize,Common,1172.0,2400.0,2400.0,2400,Markfed
2025-08-31,Karimnagar,Cotton,Common,4.0,6100.0,6100.0,6100,Private Traders
2025-08-31,Kollapur,Paddy,Common,100.0,2500.0,2500.0,2500,Private Traders
2025-08-31,Donda,Common,2,3000.0,3000.0,3000.0,Private Traders,
2025-08-31,Mahaboobnagar,Maize,Common,366.0,1970.0,1509.0,1719,Private Traders
2025-08-31,Ragi,Common,3,3980.0,3980.0,3980.0,Private Traders,
2025-08-31,Nagarkurnool,Maize,Common,468.72,1944.0,1623.0,1639,Private Traders
2025-08-31,Nakrekal,Lemon,Common,29.0,300.0,50.0,100,Private Traders
2025-08-31,Narayanpet,Paddy,Common (Hamsa),57.6,2669.0,1500.0,2649,Private Traders
2025-08-31,Paddy,Grade-A (Sonamasuri),132,2170.0,1829.0,2170.0,Private Traders,
2025-08-31,Nizamabad,Paddy,Grade-A (Jai Sri Ram),1.0,2300.0,2300.0,2300,Private Traders
2025-08-31,Siddipet,Maize,Common,409.23,1955.0,1899.0,1921,Private Traders
2025-08-31,Suryapet,Green Gram,Common,19.0,4595.0,3389.0,4272,Private Traders
2025-08-31,Groundnut pods,Common,6,4900.0,4900.0,4900.0,Private Traders,
2025-08-31,Paddy,Common (Hamsa),14,2701.0,2690.0,2690.0,Private Traders,
2025-08-31,Paddy,Grade-A,94,1979.0,1700.0,1972.0,Private Traders,
2025-08-31,Carrot,Common,3,6000.0,5500.0,3750.0,Private Traders,
2025-08-31,Brinjal,Common,6,4500.0,4000.0,4250.0,Private Traders,
2025-08-31,Cauliflower,Common,3,2000.0,2000.0,2000.0,Private Traders,
2025-08-31,Cluster Beans,Common,6,4000.0,3000.0,3500.0,Private Traders,
2025-08-31,ColaCasio(Arvi),Common,8,3000.0,2000.0,2500.0,Private Traders,
2025-08-31,Donda,Common,11,3000.0,2500.0,2750.0,Private Traders,
2025-08-31,French Beans,Common,6,6000.0,4000.0,5000.0,Private Traders,
2025-08-31,Green Chillies,Common,40,3000.0,2500.0,2750.0,Private Traders,
2025-08-31,Kheera,Common,18,1200.0,1000.0,1100.0,Private Traders,
2025-08-31,Ladys Finger,Common,6,4000.0,3000.0,3500.0,Private Traders,
2025-08-31,Ribbed Gourd,Common,25,3000.0,2000.0,2500.0,Private Traders,
2025-08-31,Cabbage,Common,4,1500.0,1500.0,1500.0,Private Traders,
2025-08-31,Tomato,Common,245,2000.0,1200.0,1600.0,Private Traders,
2025-08-31,Chillies(Dry),G.T,55,14200.0,12000.0,13000.0,Private Traders,
2025-08-31,Chillies(Dry),Talu,259,8000.0,4500.0,7000.0,Private Traders,
2025-08-31,Garlic,Common,120,7000.0,25000.0,4000.0,Private Traders,
2025-08-31,Ginger,Common,294,5000.0,2000.0,3500.0,Private Traders,
2025-08-31,Onions,No.I,"3,019",2000.0,1700.0,1800.0,Private Traders,
2025-08-31,Onions,No.II,"4,527",1600.0,400.0,1300.0,Private Traders,
2025-08-31,Tamarind,No.I,48,12000.0,9500.0,10000.0,Private Traders,
2025-08-31,Tamarind,No.II,72,9200.0,8000.0,9000.0,Private Traders,
2025-08-31,Meeralamandi,Bottle Gourd,Common,8.0,600.0,400.0,500,Private Traders
2025-08-31,Mahabubmansion,Chillies(Dry),273,77.0,12000.0,7500.0,10000,Private Traders
2025-08-31,Carrot,Common,4,6500.0,5000.0,5750.0,Private Traders,
2025-08-31,Paddy,Grade-A (Jai Sri Ram),315,2381.0,1519.0,2159.0,Private Traders,
2025-08-31,Paddy,Grade-A(IR64),543,1839.0,1509.0,1719.0,Private Traders,
2025-08-31,W.P.Town,Groundnut pods,Common,3.0,5181.0,5181.0,5181,Private Traders
2025-08-31,Warangal,Apple,Common,101.0,10000.0,4000.0,6000,Private Traders
2025-08-31,Beet Root,Common,11,5000.0,4500.0,4750.0,Private Traders,
2025-08-31,Bitter Gourd,Common,22,3000.0,2500.0,2750.0,Private Traders,
2025-08-31,Brinjal,Common,4,4000.0,3500.0,3750.0,Private Traders,
2025-08-31,Cabbage,Common,58,2000.0,1600.0,1800.0,Private Traders,
2025-08-31,Capsicum,Common,11,7000.0,6500.0,6750.0,Private Traders,
2025-08-31,Carrot,Common,21,6000.0,5500.0,5750.0,Private Traders,
2025-08-31,ColaCasio(Arvi),Common,6,4000.0,3500.0,3750.0,Private Traders,
2025-08-31,Tomato,Local,113,1200.0,1000.0,1100.0,Private Traders,
2025-08-31,Donda,Common,2,4000.0,3500.0,3750.0,Private Traders,
2025-08-31,French Beans,Common,10,7000.0,6500.0,6750.0,Private Traders,
2025-08-31,Green Chillies,Common,150,3000.0,2500.0,2750.0,Private Traders,
2025-08-31,Kheera,Common,15,2000.0,1600.0,1800.0,Private Traders,
2025-08-31,Ladys Finger,Common,8,5000.0,4500.0,4750.0,Private Traders,
2025-08-31,Orange,Common,60,2000.0,1000.0,1500.0,Private Traders,
2025-08-31,Potato,Common,16,2500.0,2000.0,2250.0,Private Traders,
2025-08-31,Ribbed Gourd,Common,13,3600.0,3200.0,3400.0,Private Traders,
2025-08-31,Tomato,Local,120,2500.0,2000.0,2250.0,Private Traders,
2025-08-31,Yam,Common,1,5000.0,4500.0,4750.0,Private Traders,
2025-08-31,Field Beans,Common,12,7000.0,6500.0,6750.0,Private Traders,
2025-08-31,Paddy,Grade-A (Samba Masuri),98,1831.0,1611.0,1831.0,Private Traders,
2025-08-31,Sweet Corn,Local,41,1200.0,500.0,850.0,Private Traders,
2025-08-31,Ribbed Gourd,Common,27,3000.0,2000.0,2500.0,Private Traders,
2025-08-31,Red Gram,Common,8,5776.0,5288.0,5776.0,Private Traders,
2025-08-31,Tandur,Black Gram,Common,47.0,5289.0,3500.0,5289,Private Traders
2025-08-31,Cattle(All),Common,29,50000.0,15000.0,30000.0,Private Traders,
2025-08-31,Green Gram,Common,80,5657.0,3771.0,4950.0,Private Traders,
2025-08-31,Maize,Common,401,1962.0,1521.0,1962.0,Private Traders,
2025-08-31,Red Gram,Common,121,7245.0,6435.0,7155.0,Private Traders,
2025-08-31,Soyabean,Yellow,236,4335.0,3950.0,4335.0,Private Traders,
2025-08-31,Tirmalagiri,Paddy,Grade-A (Samba Masuri),89.0,1808.0,1759.0,1789,Private Traders
2025-08-31,Paddy,Grade-A(IR64),678,1932.0,1651.0,1869.0,Private Traders,
2025-08-31,Snake Gourd,Common,2,1000.0,1000.0,1000.0,Private Traders,
2025-08-31,Vantimamidi,Bitter Gourd,Common,33.0,3500.0,2500.0,3000,Private Traders
2025-08-31,Cabbage,Common,8,800.0,500.0,650.0,Private Traders,
2025-08-31,Cucumber,Common,11,1500.0,800.0,1150.0,Private Traders,
2025-08-31,Donda,Common,9,3200.0,2000.0,2600.0,Private Traders,
2025-08-31,Field Beans,Common,6,3500.0,2000.0,2750.0,Private Traders,
2025-08-31,French Beans,Common,5,3000.0,3000.0,3000.0,Private Traders,
2025-08-31,Kheera,Common,41,1000.0,500.0,750.0,Private Traders,
2025-08-31,Ladys Finger,Common,6,3000.0,2000.0,2500.0,Private Traders,
2025-08-31,Lobha,Common,3,2000.0,1000.0,1500.0,Private Traders,
2025-08-31,Pumpkin,Common,4,2000.0,2000.0,2000.0,Private Traders,
2025-08-31,Brinjal,Common,5,2000.0,2000.0,2000.0,Private Traders,
2025-08-31,Capsicum,Common,6,5000.0,4000.0,4500.0,Private Traders,
2025-08-31,Maize,Common,178,1785.0,1375.0,1785.0,Private Traders,
2025-08-31,Brinjal,Common,5,3500.0,3000.0,3250.0,Private Traders,
2025-08-31,Lobha,Common,9,3000.0,500.0,2400.0,Private Traders,
2025-08-31,Onions,Common,853,2000.0,800.0,1600.0,Private Traders,
2025-08-31,Potato,Common,"1,843",2500.0,800.0,2000.0,Private Traders,
2025-08-31,Pumpkin,Common,110,2000.0,500.0,1500.0,Private Traders,
2025-08-31,Radish,Common,1,400.0,300.0,370.0,Private Traders,
2025-08-31,Ribbed Gourd,Common,808,1800.0,800.0,1500.0,Private Traders,
2025-08-31,Snake Gourd,Common,14,2000.0,500.0,1500.0,Private Traders,
2025-08-31,Sweet Corn,Local,302,1600.0,400.0,1200.0,Private Traders,
2025-08-31,Sweet Potato,Common,335,3300.0,1000.0,2500.0,Private Traders,
2025-08-31,Ladys Finger,Common,435,1800.0,800.0,1500.0,Private Traders,
2025-08-31,Tomato,Hybrid,"3,842",2000.0,400.0,1500.0,Private Traders,
2025-08-31,Chevella,Tomato,Local,95.0,1000.0,1000.0,1000,Private Traders
2025-08-31,Gaddiannaram,Mosambi,Common,592.0,4500.0,1100.0,1200,Private Traders
2025-08-31,L.B Nagar,Arati-Green Plantain,Common,16.0,3500.0,3000.0,3200,Private Traders
2025-08-31,Beet Root,Common,10,3500.0,3000.0,3200.0,Private Traders,
2025-08-31,Bitter Gourd,Common,20,3500.0,3000.0,3200.0,Private Traders,
2025-08-31,Bottle Gourd,Common,55,1000.0,700.0,800.0,Private Traders,
2025-08-31,Brinjal,Common,21,3500.0,3000.0,3200.0,Private Traders,
2025-08-31,Cabbage,Common,62,2000.0,1500.0,1700.0,Private Traders,
2025-08-31,Capsicum,Common,6,6000.0,4000.0,5000.0,Private Traders,
2025-08-31,Yam,Common,26,3000.0,1500.0,2600.0,Private Traders,
2025-08-31,Carrot,Common,28,5000.0,4000.0,4500.0,Private Traders,
