Commodity,Market,Variety,Max_Price,Avg_Price,Min_Price,Last_Updated,Trend,Extra,Fetch_Date
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-28
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-28
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-27
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-27
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-26
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-26
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-25
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-25
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-24
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-24
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-23
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-23
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-22
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-22
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-21
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-21
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-20
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-20
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-19
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-19
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-18
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-18
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-17
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-17
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-16
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-16
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-15
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-15
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-14
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-14
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-13
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-13
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-12
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-12
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-11
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-11
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-10
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-10
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-09
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-09
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-08
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-08
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-11-07
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-07
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-07
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-11-06
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-06
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-06
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-05
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-05
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-11-05
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-04
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-11-04
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-04
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-11-03
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-03
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-03
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-02
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-02
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-11-02
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-11-01
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-11-01
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-11-01
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-31
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-31
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-10-31
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-30
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-10-30
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-30
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-29
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-29
Dry Chillies,Khammam,Red,8000,7500,6500,29 Oct 2025,,For Free Price Alerts,2025-10-29
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-28
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-28
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-28
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-27
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-27
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-27
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-26
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-26
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-26
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-25
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-25
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-25
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-24
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-24
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-24
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-23
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-23
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-23
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-22
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-22
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-22
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-21
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-21
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-21
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-20
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-20
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-20
Green Chilli,Khammam,Green Chilly,3600,3000,3000,11 Jan 2025,,For Free Price Alerts,2025-10-19
Dry Chillies,Khammam,Talu,6000,5400,5000,04 Jul 2025,,For Free Price Alerts,2025-10-19
Dry Chillies,Khammam,Red,8600,8000,7400,07 Aug 2025,,For Free Price Alerts,2025-10-19
