Commodity,Market,Variety,Max_Price,Avg_Price,Min_Price,Last_Updated,Trend,Extra,Fetch_Date
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-12-05
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-12-05
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-05
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-05
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-12-05
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-05
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-05
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-12-05
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-12-05
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-12-05
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-05
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-12-05
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-12-05
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-12-05
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-12-05
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-12-05
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-12-05
