Commodity,Market,Variety,Max_Price,Avg_Price,Min_Price,Last_Updated,Trend,Extra,Fetch_Date
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-12-03
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-12-02
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-12-01
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-30
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-29
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-28
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-27
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-26
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-25
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-24
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-23
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-22
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-21
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-20
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-19
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-18
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-17
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-16
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-15
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-14
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-13
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-12
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-11
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-10
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-09
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-08
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-07
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-06
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-05
Paddy(Dhan)(Common),Nakrekal,MTU-1010,2389,2389,2389,31 Oct 2025,,For Free Price Alerts,2025-11-04
