Scraped_At,Product Name/Symbol,Expiry Date,Open,"Low 
                         LTP 
                         High",Close,Change,Change(%),ATP,Spot Price,Spot Price Date|Time,Best Buy,Best Sell,OI
2025-12-02T18:59:25,Turmeric (Farmer Polished),18-Dec-2025,"14,700.00","14570
                          
                        
                        14612
                        14796","14,706.00",-94.00,-0.64,"14,685.20","14,963.85",Dec 02 2025 | 03:13 PM,"14,580.00","14,614.00","7,795"
2025-12-02T18:59:25,Dhaniya,19-Dec-2025,"10,246.00","10246
                          
                        
                        10512
                        10620","10,568.00",-56.00,-0.53,"10,512.40","10,023.60",Dec 02 2025 | 03:16 PM,"10,512.00","10,540.00","15,060"
2025-12-02T18:59:25,Guar Gum,19-Dec-2025,"8,918.00","8775
                          
                        
                        8838
                        8979","8,836.00",2.00,0.02,"8,875.73","9,042.65",Dec 02 2025 | 03:23 PM,"8,784.00","8,838.00","24,465"
2025-12-02T18:59:25,Castor Seed,19-Dec-2025,"6,942.00","6942
                          
                        
                        7035
                        7044","6,956.00",79.00,1.14,"6,996.67","6,883.25",Dec 02 2025 | 03:08 PM,"7,030.00","7,040.00","17,855"
2025-12-02T18:59:25,Guar seed,19-Dec-2025,"4,818.00","4762
                          
                        
                        4781
                        4834","4,794.00",-13.00,-0.27,"4,796.75","4,821.50",Dec 02 2025 | 03:23 PM,"4,781.00","4,784.00","30,405"
2025-12-02T18:59:25,Jeera,19-Dec-2025,"21,610.00","21505
                          
                        
                        21805
                        21940","21,710.00",95.00,0.44,"21,779.40","21,417.50",Dec 02 2025 | 03:18 PM,"21,765.00","21,810.00","3,051"
2025-12-02T18:59:25,Cotton Seed Oilcake,19-Dec-2025,"2,872.00","2868
                          
                        
                        2887
                        2897","2,874.00",13.00,0.45,"2,882.85","2,938.20",Dec 02 2025 | 03:29 PM,"2,883.00","2,886.00","16,930"
2025-12-02T18:59:25,Maize - Feed/Industrial Grade,19-Dec-2025,"1,788.00","1788
                          
                        
                        1788
                        1788","1,781.00",7.00,0.39,"1,788.00","1,771.20",Dec 02 2025 | 03:25 PM,"1,785.00","1,810.00",50
2025-12-02T18:59:25,Cotton Seed Oilcake,20-Jan-2026,"2,863.00","2857
                          
                        
                        2865
                        2879","2,863.00",2.00,0.07,"2,869.10","2,938.20",Dec 02 2025 | 03:29 PM,"2,863.00","2,865.00","13,980"
2025-12-02T18:59:25,Guar Gum,20-Jan-2026,"9,066.00","8910
                          
                        
                        8970
                        9100","8,954.00",16.00,0.18,"9,000.66","9,042.65",Dec 02 2025 | 03:23 PM,"8,965.00","8,968.00","34,635"
2025-12-02T18:59:25,Guar seed,20-Jan-2026,"4,927.00","4863
                          
                        
                        4884
                        4935","4,898.00",-14.00,-0.29,"4,896.06","4,821.50",Dec 02 2025 | 03:23 PM,"4,882.00","4,885.00","41,610"
2025-12-02T18:59:25,Jeera,20-Jan-2026,"21,905.00","21900
                          
                        
                        22070
                        22200","22,060.00",10.00,0.05,"22,062.20","21,417.50",Dec 02 2025 | 03:18 PM,"22,060.00","22,100.00","1,449"
2025-12-02T18:59:25,Dhaniya,20-Jan-2026,"10,310.00","10260
                          
                        
                        10412
                        10574","10,494.00",-82.00,-0.78,"10,452.80","10,023.60",Dec 02 2025 | 03:16 PM,"10,410.00","10,440.00","6,750"
2025-12-02T18:59:25,Castor Seed,20-Jan-2026,"6,954.00","6954
                          
                        
                        7050
                        7060","6,969.00",81.00,1.16,"7,008.49","6,883.25",Dec 02 2025 | 03:08 PM,"7,048.00","7,050.00","10,210"
2025-12-02T18:59:25,Cotton Seed Oilcake,20-Feb-2026,"2,864.00","2864
                          
                        
                        2875
                        2884","2,884.00",-9.00,-0.31,"2,876.78","2,938.20",Dec 02 2025 | 03:29 PM,"2,868.00","2,874.00","1,950"
2025-12-02T18:59:25,Guar seed,20-Feb-2026,"4,991.00","4950
                          
                        
                        4950
                        5012","5,020.00",-70.00,-1.39,"4,975.12","4,821.50",Dec 02 2025 | 03:23 PM,"4,930.00","5,030.00",775
2025-12-02T18:59:25,Castor Seed,20-Feb-2026,"6,968.00","6968
                          
                        
                        6975
                        6975","6,982.00",-7.00,-0.10,"6,971.50","6,883.25",Dec 02 2025 | 03:08 PM,"6,830.00","7,200.00",10
2025-12-02T18:59:25,Jeera,20-Mar-2026,"22,725.00","22725
                          
                        
                        22725
                        22725","23,665.00",-940.00,-3.97,"22,725.00","21,417.50",Dec 02 2025 | 03:18 PM,0.00,"22,725.00",75
2025-12-02T18:59:25,Turmeric (Farmer Polished),20-Apr-2026,"14,710.00","14656
                          
                        
                        14700
                        14940","14,810.00",-110.00,-0.74,"14,808.60","14,963.85",Dec 02 2025 | 03:13 PM,"14,672.00","14,770.00","9,610"
2025-12-02T18:59:25,Dhaniya,20-Apr-2026,"10,842.00","10666
                          
                        
                        10906
                        11048","10,832.00",74.00,0.68,"10,885.10","10,023.60",Dec 02 2025 | 03:16 PM,"10,906.00","10,990.00","1,810"
2025-12-02T18:59:25,Kapas,30-Apr-2026,"1,521.00","1520
                          
                        
                        1525
                        1525","1,534.00",-9.00,-0.59,"1,522.00","1,409.05",Dec 02 2025 | 04:41 PM,"1,516.00","1,528.00",150
2025-12-02T18:59:25,Turmeric (Farmer Polished),20-May-2026,"14,612.00","14582
                          
                        
                        14582
                        14612","14,534.00",48.00,0.33,"14,597.00","14,963.85",Dec 02 2025 | 03:13 PM,"14,550.00","14,830.00",760
