Date,Market Name,Commodity Name,Variety Name,Arrivals(Qtls),Maximum,Minimum,Modal,Purchase By
2025-09-11,Boath,Maize,Common,130.0,2400.0,2400.0,2400,Private Traders
2025-09-11,Nakrekal,Lemon,Common,459.0,200.0,50.0,100,Private Traders
2025-09-11,Beet Root,Common,681,3500.0,600.0,2800.0,Private Traders,
2025-09-11,Bitter Gourd,Common,779,4000.0,600.0,3000.0,Private Traders,
2025-09-11,Bottle Gourd,Common,762,1400.0,400.0,1100.0,Private Traders,
2025-09-11,Brinjal,Kalyani,763,3000.0,600.0,2400.0,Private Traders,
2025-09-11,Brinjal,Round,450,4000.0,600.0,2800.0,Private Traders,
2025-09-11,Capsicum,Common,"1,422",3500.0,1000.0,2600.0,Private Traders,
2025-09-11,Carrot,Common,"3,197",5500.0,500.0,3500.0,Private Traders,
2025-09-11,ColaCasio(Arvi),Common,431,1800.0,1000.0,1600.0,Private Traders,
2025-09-11,Cauliflower,Common,110,2000.0,500.0,1500.0,Private Traders,
2025-09-11,Cluster Beans,Common,136,6500.0,3000.0,5200.0,Private Traders,
2025-09-11,Cucumber,Common,409,1500.0,400.0,1200.0,Private Traders,
2025-09-11,Field Beans,Common,"1,482",5000.0,1500.0,4000.0,Private Traders,
2025-09-11,French Beans,Common,448,5000.0,2000.0,4000.0,Private Traders,
2025-09-11,Green Chillies,Common,"1,491",3000.0,1000.0,2500.0,Private Traders,
2025-09-11,Ladys Finger,Common,501,2000.0,800.0,1600.0,Private Traders,
2025-09-11,Onions,Common,308,7000.0,3000.0,6000.0,Private Traders,
2025-09-11,Potato,Common,"3,891",2300.0,800.0,1800.0,Private Traders,
2025-09-11,Cluster Beans,Common,4,6000.0,6000.0,6000.0,Private Traders,
2025-09-11,Yam,Common,77,4000.0,2000.0,3500.0,Private Traders,
2025-09-11,Bowenpally,Amla,Common,308.0,7000.0,3000.0,6000,Private Traders
2025-09-11,Field Beans,Common,28,5000.0,3000.0,4000.0,Private Traders,
2025-09-11,Maize,Common,"1,189",2241.0,1936.0,2069.0,PACS,
2025-09-11,Paddy,Grade-A(IR64),306,2051.0,1821.0,2011.0,Private Traders,
2025-09-11,Paddy,Grade-A(IR64),"1,200",2389.0,2389.0,2389.0,PACS,
2025-09-11,L.B Nagar,Arati-Green Plantain,Common,15.0,3000.0,2000.0,2500,Private Traders
2025-09-11,Beet Root,Common,10,4000.0,3000.0,3500.0,Private Traders,
2025-09-11,Bitter Gourd,Common,20,3500.0,3000.0,3200.0,Private Traders,
2025-09-11,Bottle Gourd,Common,39,2000.0,1000.0,1500.0,Private Traders,
2025-09-11,Brinjal,Common,31,3500.0,3000.0,3200.0,Private Traders,
2025-09-11,Cabbage,Common,105,1500.0,1000.0,1200.0,Private Traders,
2025-09-11,Capsicum,Common,17,5000.0,3000.0,4000.0,Private Traders,
2025-09-11,Carrot,Common,35,5000.0,3000.0,4000.0,Private Traders,
2025-09-11,Cauliflower,Common,19,3000.0,2000.0,2500.0,Private Traders,
2025-09-11,Cluster Beans,Common,17,5000.0,3000.0,4000.0,Private Traders,
2025-09-11,ColaCasio(Arvi),Common,15,3000.0,2000.0,2500.0,Private Traders,
2025-09-11,Cucumber,Common,130,2000.0,1000.0,1500.0,Private Traders,
2025-09-11,Donda,Common,45,4000.0,3000.0,3500.0,Private Traders,
2025-09-11,Drumstick,Common,5,12000.0,6000.0,7000.0,Private Traders,
2025-09-11,Choppadandi,Cotton,Common,30.0,6500.0,5800.0,6200,Private Traders
2025-09-11,Tomato,Hybrid,"2,710",2200.0,400.0,1500.0,Private Traders,
2025-09-11,Snake Gourd,Common,17,2000.0,600.0,1500.0,Private Traders,
2025-09-11,Ladys Finger,Common,62,4000.0,3000.0,3500.0,Private Traders,
2025-09-11,Cotton,Common,30,6500.0,5800.0,6200.0,PACS,
2025-09-11,Green Chillies,Common,518,3500.0,1800.0,2500.0,Private Traders,
2025-09-11,Field Beans,Common,134,4500.0,3000.0,3500.0,Private Traders,
2025-09-11,Ribbed Gourd,Common,57,4500.0,3500.0,4000.0,Private Traders,
2025-09-11,Snake Gourd,Common,2,1500.0,1500.0,1500.0,Private Traders,
2025-09-11,Tomato,Common,827,2400.0,800.0,1600.0,Private Traders,
2025-09-11,Gajwel,Cotton,Common,10.0,6600.0,6500.0,6600,Private Traders
